note_id,unified_note_id,normalized_note_name,in_rule_space,in_perfume_space,merged_group_size
NOTE-0001,NOTE-0001,african_geranium,False,True,1
NOTE-0002,NOTE-0002,african_orange_flower,False,True,1
NOTE-0003,NOTE-0003,agarwood_oud,True,True,1
NOTE-0004,NOTE-0004,akigalawood,False,True,1
NOTE-0005,NOTE-0005,aldehydes,True,True,1
NOTE-0006,NOTE-0006,almond,False,True,1
NOTE-0007,NOTE-0007,almond_blossom,False,True,1
NOTE-0008,NOTE-0008,almond_milk,False,True,1
NOTE-0009,NOTE-0009,amalfi_lemon,False,True,1
NOTE-0010,NOTE-0010,amalfi_lemon_mandarin_orange,False,True,1
NOTE-0011,NOTE-0011,amber,False,True,1
NOTE-0012,NOTE-0012,amber_accord,True,True,1
NOTE-0013,NOTE-0013,amber_like_woods,False,True,1
NOTE-0014,NOTE-0014,amber_notes,False,True,1
NOTE-0015,NOTE-0015,ambergris,False,True,1
NOTE-0016,NOTE-0016,amberwood,True,True,1
NOTE-0017,NOTE-0017,ambrette,False,True,1
NOTE-0018,NOTE-0018,ambrette_musk_mallow,False,True,1
NOTE-0019,NOTE-0019,ambrette_seed,False,True,2
NOTE-0020,NOTE-0020,ambrox,False,True,1
NOTE-0021,NOTE-0021,ambroxan,True,True,1
NOTE-0022,NOTE-0022,amyl_salicylate,False,True,1
NOTE-0023,NOTE-0023,amyris,False,True,1
NOTE-0024,NOTE-0024,angelica,False,True,1
NOTE-0025,NOTE-0025,animal_notes,False,True,1
NOTE-0026,NOTE-0026,anise,False,True,1
NOTE-0027,NOTE-0027,apple,True,True,1
NOTE-0028,NOTE-0028,apricot,False,True,1
NOTE-0029,NOTE-0029,aromatic_citrus,False,True,1
NOTE-0030,NOTE-0030,aromatic_herbs,False,True,1
NOTE-0031,NOTE-0031,aromatic_spices,False,True,1
NOTE-0032,NOTE-0032,artemisia,False,True,1
NOTE-0033,NOTE-0033,balsamic_resins,False,True,1
NOTE-0034,NOTE-0034,balsamic_woods,False,True,1
NOTE-0035,NOTE-0035,banana,False,True,1
NOTE-0036,NOTE-0036,basil,False,True,4
NOTE-0037,NOTE-0037,bay_leaf,False,True,1
NOTE-0038,NOTE-0038,beeswax,False,True,2
NOTE-0039,NOTE-0039,benzoin,True,True,1
NOTE-0040,NOTE-0040,bergamot,True,True,1
NOTE-0041,NOTE-0041,berries,False,True,1
NOTE-0042,NOTE-0042,bigarade_bitter_orange,False,True,1
NOTE-0043,NOTE-0043,birch,False,True,1
NOTE-0044,NOTE-0044,birch_leaf,False,True,1
NOTE-0045,NOTE-0045,birch_leaves,False,True,1
NOTE-0046,NOTE-0046,birch_tar,True,True,1
NOTE-0047,NOTE-0047,bitter_almond,False,True,1
NOTE-0048,NOTE-0048,bitter_orange,False,True,1
NOTE-0049,NOTE-0049,black_amber,False,True,1
NOTE-0050,NOTE-0050,black_currant,False,True,1
NOTE-0051,NOTE-0051,black_ink,False,True,1
NOTE-0052,NOTE-0052,black_licorice,False,True,1
NOTE-0053,NOTE-0053,black_pepper,False,True,3
NOTE-0054,NOTE-0054,black_tea,False,True,7
NOTE-0055,NOTE-0055,black_vanilla_husk,False,True,1
NOTE-0056,NOTE-0056,blackberry,False,True,1
NOTE-0057,NOTE-0057,blackcurrant,False,True,1
NOTE-0058,NOTE-0058,blood_grapefruit,False,True,1
NOTE-0059,NOTE-0059,blood_mandarin,False,True,1
NOTE-0060,NOTE-0060,blood_orange,False,True,1
NOTE-0061,NOTE-0061,blue_ginger,False,True,1
NOTE-0062,NOTE-0062,blue_lotus,False,True,1
NOTE-0063,NOTE-0063,blue_sage,False,True,1
NOTE-0064,NOTE-0064,bourbon_geranium,False,True,3
NOTE-0065,NOTE-0065,bourbon_vanilla,False,True,1
NOTE-0066,NOTE-0066,bourbon_vetiver,False,True,3
NOTE-0067,NOTE-0067,bourbon_whiskey,False,True,1
NOTE-0068,NOTE-0068,brazilian_rosewood,False,True,1
NOTE-0069,NOTE-0069,brown_sugar,False,True,1
NOTE-0070,NOTE-0070,bulgarian_rose,False,True,1
NOTE-0071,NOTE-0071,bulrush,False,True,1
NOTE-0072,NOTE-0072,burnt_match,False,True,1
NOTE-0073,NOTE-0073,cacao,False,True,1
NOTE-0074,NOTE-0074,cacao_pod,False,True,1
NOTE-0075,NOTE-0075,cade_oil,True,True,1
NOTE-0076,NOTE-0076,calabrian_bergamot,False,True,1
NOTE-0077,NOTE-0077,calamansi,False,True,1
NOTE-0078,NOTE-0078,cappuccino,False,True,1
NOTE-0079,NOTE-0079,caramel,False,True,1
NOTE-0080,NOTE-0080,caraway,False,True,1
NOTE-0081,NOTE-0081,cardamom,False,True,3
NOTE-0082,NOTE-0082,cardamon,False,True,1
NOTE-0083,NOTE-0083,carnation,False,True,1
NOTE-0084,NOTE-0084,carrot,False,True,1
NOTE-0085,NOTE-0085,carrot_seeds,False,True,1
NOTE-0086,NOTE-0086,cascarilla,False,True,1
NOTE-0087,NOTE-0087,cashmeran,True,True,1
NOTE-0088,NOTE-0088,cashmere_wood,False,True,1
NOTE-0089,NOTE-0089,cassis,False,True,1
NOTE-0090,NOTE-0090,castoreum,False,True,2
NOTE-0091,NOTE-0091,cedar,False,True,1
NOTE-0092,NOTE-0092,cedar_leaf,False,True,1
NOTE-0093,NOTE-0093,cedar_shavings,False,True,1
NOTE-0094,NOTE-0094,cedarwood,True,True,1
NOTE-0095,NOTE-0095,celery_seeds,False,True,1
NOTE-0096,NOTE-0096,ceylon_cinnamon,False,True,1
NOTE-0097,NOTE-0097,chamomile,False,True,1
NOTE-0098,NOTE-0098,champagne,False,True,1
NOTE-0099,NOTE-0099,chestnut,False,True,1
NOTE-0100,NOTE-0100,chilli,False,True,1
NOTE-0101,NOTE-0101,chilli_accord,False,True,1
NOTE-0102,NOTE-0102,chinotto,False,True,1
NOTE-0103,NOTE-0103,chocolate,False,True,1
NOTE-0104,NOTE-0104,cinnamon,False,True,2
NOTE-0105,NOTE-0105,cinnamon_leaf,False,True,2
NOTE-0106,NOTE-0106,cistus,False,True,1
NOTE-0107,NOTE-0107,cistus_labdanum,False,True,1
NOTE-0108,NOTE-0108,citron,False,True,1
NOTE-0109,NOTE-0109,citrus,False,True,1
NOTE-0110,NOTE-0110,citrus_notes,False,True,1
NOTE-0111,NOTE-0111,citrus_nuances,False,True,1
NOTE-0112,NOTE-0112,citruses,False,True,1
NOTE-0113,NOTE-0113,citruses_with_sugar,False,True,1
NOTE-0114,NOTE-0114,citrusy_sparkles,False,True,1
NOTE-0115,NOTE-0115,civet,False,True,1
NOTE-0116,NOTE-0116,clary_sage,True,True,1
NOTE-0117,NOTE-0117,clean_musk,False,True,1
NOTE-0118,NOTE-0118,clementine,False,True,1
NOTE-0119,NOTE-0119,clove,False,True,3
NOTE-0120,NOTE-0120,clover,False,True,1
NOTE-0121,NOTE-0121,cloves,False,True,1
NOTE-0122,NOTE-0122,coal,False,True,1
NOTE-0123,NOTE-0123,cocoa,False,True,4
NOTE-0124,NOTE-0124,coconut,False,True,3
NOTE-0125,NOTE-0125,coconut_blossom,False,True,1
NOTE-0126,NOTE-0126,coconut_milk,False,True,1
NOTE-0127,NOTE-0123,coffee,False,True,4
NOTE-0128,NOTE-0128,cognac,False,True,1
NOTE-0129,NOTE-0129,cool_mint,False,True,1
NOTE-0130,NOTE-0130,coriander,False,True,2
NOTE-0131,NOTE-0131,coriander_leaf,False,True,1
NOTE-0132,NOTE-0132,cotton_candy,False,True,1
NOTE-0133,NOTE-0133,cotton_flower,False,True,1
NOTE-0134,NOTE-0134,coumarin,True,True,1
NOTE-0135,NOTE-0135,cranberry,False,True,1
NOTE-0136,NOTE-0136,cucumber,False,True,1
NOTE-0137,NOTE-0137,cumin,False,True,1
NOTE-0138,NOTE-0138,cyclamen,False,True,1
NOTE-0139,NOTE-0139,cypress,False,True,1
NOTE-0140,NOTE-0140,cypriol,True,True,1
NOTE-0141,NOTE-0141,cypriol_oil_or_nagarmotha,False,True,2
NOTE-0142,NOTE-0142,damask_rose,False,True,1
NOTE-0143,NOTE-0143,darjeeling_tea,False,True,1
NOTE-0144,NOTE-0144,dark_berries,False,True,1
NOTE-0145,NOTE-0145,dates,False,True,1
NOTE-0146,NOTE-0146,dried_fruits,False,True,1
NOTE-0147,NOTE-0147,dried_plum,False,True,1
NOTE-0148,NOTE-0148,driftwood,False,True,1
NOTE-0149,NOTE-0149,dry_woods,False,True,1
NOTE-0150,NOTE-0150,ebony,False,True,1
NOTE-0151,NOTE-0151,ebony_wood,False,True,1
NOTE-0152,NOTE-0152,egyptian_jasmine,False,True,1
NOTE-0153,NOTE-0153,egyptian_pelargonium,False,True,1
NOTE-0154,NOTE-0154,elemi,False,True,2
NOTE-0155,NOTE-0155,eucalyptus,True,True,1
NOTE-0156,NOTE-0156,fennel,False,True,1
NOTE-0157,NOTE-0157,fig,False,True,2
NOTE-0158,NOTE-0158,fig_leaf,False,True,3
NOTE-0159,NOTE-0159,fir,False,True,1
NOTE-0160,NOTE-0160,fir_needles,False,True,1
NOTE-0161,NOTE-0161,flax,False,True,1
NOTE-0162,NOTE-0162,flint,False,True,1
NOTE-0163,NOTE-0163,floral_notes,False,True,1
NOTE-0164,NOTE-0164,frangipani,False,True,1
NOTE-0165,NOTE-0165,frankincense,False,True,3
NOTE-0166,NOTE-0166,freesia,True,True,1
NOTE-0167,NOTE-0167,fruit,False,True,1
NOTE-0168,NOTE-0168,fruity_notes,False,True,1
NOTE-0169,NOTE-0169,galbanum,True,True,1
NOTE-0170,NOTE-0170,gardenia,False,True,1
NOTE-0171,NOTE-0064,geranium,False,True,3
NOTE-0172,NOTE-0172,ginger,False,True,3
